example_id,dataset,layer,condition,cosine_distance
csqa_499,commonsense_qa,1,redecode,0.8903719782829285
csqa_499,commonsense_qa,1,self_critique,0.7782163619995117
csqa_499,commonsense_qa,1,external_critique,0.7633735537528992
csqa_499,commonsense_qa,2,redecode,0.7471218705177307
csqa_499,commonsense_qa,2,self_critique,0.6718500852584839
csqa_499,commonsense_qa,2,external_critique,0.5729956030845642
csqa_499,commonsense_qa,3,redecode,0.8527555465698242
csqa_499,commonsense_qa,3,self_critique,0.7469994425773621
csqa_499,commonsense_qa,3,external_critique,0.71109938621521
csqa_499,commonsense_qa,4,redecode,0.853466272354126
csqa_499,commonsense_qa,4,self_critique,0.7530931830406189
csqa_499,commonsense_qa,4,external_critique,0.6888777613639832
csqa_499,commonsense_qa,5,redecode,0.8636611104011536
csqa_499,commonsense_qa,5,self_critique,0.7652105093002319
csqa_499,commonsense_qa,5,external_critique,0.6999865770339966
csqa_499,commonsense_qa,6,redecode,0.7924805283546448
csqa_499,commonsense_qa,6,self_critique,0.7329211235046387
csqa_499,commonsense_qa,6,external_critique,0.6768007278442383
csqa_499,commonsense_qa,7,redecode,0.7819638848304749
csqa_499,commonsense_qa,7,self_critique,0.7279137372970581
csqa_499,commonsense_qa,7,external_critique,0.6882679462432861
csqa_499,commonsense_qa,8,redecode,0.8287913203239441
csqa_499,commonsense_qa,8,self_critique,0.7411048412322998
csqa_499,commonsense_qa,8,external_critique,0.7035723924636841
csqa_499,commonsense_qa,9,redecode,0.8089162707328796
csqa_499,commonsense_qa,9,self_critique,0.7400432825088501
csqa_499,commonsense_qa,9,external_critique,0.7087281942367554
csqa_499,commonsense_qa,10,redecode,0.8521746397018433
csqa_499,commonsense_qa,10,self_critique,0.7365423440933228
csqa_499,commonsense_qa,10,external_critique,0.7428386211395264
csqa_499,commonsense_qa,11,redecode,0.8450022339820862
csqa_499,commonsense_qa,11,self_critique,0.7640371918678284
csqa_499,commonsense_qa,11,external_critique,0.7664695978164673
csqa_499,commonsense_qa,12,redecode,0.8671505451202393
csqa_499,commonsense_qa,12,self_critique,0.7437875866889954
csqa_499,commonsense_qa,12,external_critique,0.7355105876922607
csqa_499,commonsense_qa,13,redecode,0.8506875038146973
csqa_499,commonsense_qa,13,self_critique,0.7363923192024231
csqa_499,commonsense_qa,13,external_critique,0.7193776965141296
csqa_499,commonsense_qa,14,redecode,0.8417603373527527
csqa_499,commonsense_qa,14,self_critique,0.7251724004745483
csqa_499,commonsense_qa,14,external_critique,0.7274256944656372
csqa_499,commonsense_qa,15,redecode,0.8117276430130005
csqa_499,commonsense_qa,15,self_critique,0.7476865649223328
csqa_499,commonsense_qa,15,external_critique,0.7124224901199341
csqa_499,commonsense_qa,16,redecode,0.8465643525123596
csqa_499,commonsense_qa,16,self_critique,0.739827573299408
csqa_499,commonsense_qa,16,external_critique,0.729236364364624
csqa_499,commonsense_qa,17,redecode,0.9357059597969055
csqa_499,commonsense_qa,17,self_critique,0.817637026309967
csqa_499,commonsense_qa,17,external_critique,0.8096159100532532
csqa_499,commonsense_qa,18,redecode,0.9103071093559265
csqa_499,commonsense_qa,18,self_critique,0.8053088784217834
csqa_499,commonsense_qa,18,external_critique,0.7899442911148071
csqa_499,commonsense_qa,19,redecode,0.9354913830757141
csqa_499,commonsense_qa,19,self_critique,0.8202455639839172
csqa_499,commonsense_qa,19,external_critique,0.8036626577377319
csqa_499,commonsense_qa,20,redecode,0.817003071308136
csqa_499,commonsense_qa,20,self_critique,0.7410176992416382
csqa_499,commonsense_qa,20,external_critique,0.727980375289917
csqa_499,commonsense_qa,21,redecode,0.9417190551757812
csqa_499,commonsense_qa,21,self_critique,0.8357107043266296
csqa_499,commonsense_qa,21,external_critique,0.8055275678634644
csqa_499,commonsense_qa,22,redecode,0.8748061656951904
csqa_499,commonsense_qa,22,self_critique,0.7861373424530029
csqa_499,commonsense_qa,22,external_critique,0.7346946001052856
csqa_499,commonsense_qa,23,redecode,0.825890064239502
csqa_499,commonsense_qa,23,self_critique,0.7793430089950562
csqa_499,commonsense_qa,23,external_critique,0.7192167639732361
csqa_499,commonsense_qa,24,redecode,0.7673304080963135
csqa_499,commonsense_qa,24,self_critique,0.7223861813545227
csqa_499,commonsense_qa,24,external_critique,0.6780694723129272
csqa_499,commonsense_qa,25,redecode,0.6597615480422974
csqa_499,commonsense_qa,25,self_critique,0.6500449180603027
csqa_499,commonsense_qa,25,external_critique,0.6262595653533936
csqa_499,commonsense_qa,26,redecode,0.6041085720062256
csqa_499,commonsense_qa,26,self_critique,0.6039078235626221
csqa_499,commonsense_qa,26,external_critique,0.5693983435630798
csqa_499,commonsense_qa,27,redecode,0.5769538283348083
csqa_499,commonsense_qa,27,self_critique,0.5741589069366455
csqa_499,commonsense_qa,27,external_critique,0.5709201097488403
csqa_499,commonsense_qa,28,redecode,0.9063699841499329
csqa_499,commonsense_qa,28,self_critique,0.7088779211044312
csqa_499,commonsense_qa,28,external_critique,0.6953669786453247
gsm8k_1103,gsm8k,1,redecode,0.8940675258636475
gsm8k_1103,gsm8k,1,self_critique,0.914283037185669
gsm8k_1103,gsm8k,1,external_critique,0.8979898691177368
gsm8k_1103,gsm8k,2,redecode,0.8131909966468811
