example_id,dataset,layer,condition,l2
csqa_499,commonsense_qa,1,redecode,22.868982315063477
csqa_499,commonsense_qa,1,self_critique,23.4244441986084
csqa_499,commonsense_qa,1,external_critique,21.6843204498291
csqa_499,commonsense_qa,2,redecode,27.53644561767578
csqa_499,commonsense_qa,2,self_critique,27.179710388183594
csqa_499,commonsense_qa,2,external_critique,23.997156143188477
csqa_499,commonsense_qa,3,redecode,39.722251892089844
csqa_499,commonsense_qa,3,self_critique,38.898529052734375
csqa_499,commonsense_qa,3,external_critique,40.70182800292969
csqa_499,commonsense_qa,4,redecode,45.63503646850586
csqa_499,commonsense_qa,4,self_critique,47.05189895629883
csqa_499,commonsense_qa,4,external_critique,45.786312103271484
csqa_499,commonsense_qa,5,redecode,52.45744705200195
csqa_499,commonsense_qa,5,self_critique,54.01767349243164
csqa_499,commonsense_qa,5,external_critique,51.80767822265625
csqa_499,commonsense_qa,6,redecode,50.3011360168457
csqa_499,commonsense_qa,6,self_critique,48.49078369140625
csqa_499,commonsense_qa,6,external_critique,46.18905258178711
csqa_499,commonsense_qa,7,redecode,51.973880767822266
csqa_499,commonsense_qa,7,self_critique,51.31138229370117
csqa_499,commonsense_qa,7,external_critique,49.30181884765625
csqa_499,commonsense_qa,8,redecode,56.34474182128906
csqa_499,commonsense_qa,8,self_critique,57.037689208984375
csqa_499,commonsense_qa,8,external_critique,54.3504753112793
csqa_499,commonsense_qa,9,redecode,56.4990348815918
csqa_499,commonsense_qa,9,self_critique,56.21348190307617
csqa_499,commonsense_qa,9,external_critique,56.181976318359375
csqa_499,commonsense_qa,10,redecode,56.73907470703125
csqa_499,commonsense_qa,10,self_critique,56.567909240722656
csqa_499,commonsense_qa,10,external_critique,55.33177947998047
csqa_499,commonsense_qa,11,redecode,58.8662109375
csqa_499,commonsense_qa,11,self_critique,56.55427932739258
csqa_499,commonsense_qa,11,external_critique,56.74750518798828
csqa_499,commonsense_qa,12,redecode,60.62470245361328
csqa_499,commonsense_qa,12,self_critique,58.903743743896484
csqa_499,commonsense_qa,12,external_critique,56.89895248413086
csqa_499,commonsense_qa,13,redecode,65.2043228149414
csqa_499,commonsense_qa,13,self_critique,60.70878982543945
csqa_499,commonsense_qa,13,external_critique,58.5568733215332
csqa_499,commonsense_qa,14,redecode,68.1393051147461
csqa_499,commonsense_qa,14,self_critique,64.38685607910156
csqa_499,commonsense_qa,14,external_critique,62.6610221862793
csqa_499,commonsense_qa,15,redecode,68.97101593017578
csqa_499,commonsense_qa,15,self_critique,62.75408172607422
csqa_499,commonsense_qa,15,external_critique,62.985477447509766
